Statistical profiling result from isolate-withlog-v8.log, (16186 ticks, 30 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    0.0%    0.1%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      4    0.0%    0.1%  LazyCompile: *getStringWidth node:internal/util/inspect:2181:43
      4    0.0%    0.1%  LazyCompile: *generateList /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:143:38
      4    0.0%    0.1%  LazyCompile: *extname node:path:1385:10
      4    0.0%    0.1%  LazyCompile: *castChunk /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:52:19
      4    0.0%    0.1%  LazyCompile: *_addListener node:events:554:22
      4    0.0%    0.1%  Function: ^toString node:buffer:783:46
      4    0.0%    0.1%  Function: ^Module._compile node:internal/modules/cjs/loader:1057:37
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?&)
      3    0.0%    0.1%  LazyCompile: *replaceStack /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:892:38
      3    0.0%    0.1%  LazyCompile: *relative node:path:1190:11
      3    0.0%    0.1%  LazyCompile: *push /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:868:22
      3    0.0%    0.1%  LazyCompile: *getEncodingOps node:buffer:679:24
      3    0.0%    0.1%  LazyCompile: *dirname node:path:1275:10
      3    0.0%    0.1%  LazyCompile: *Module._resolveLookupPaths node:internal/modules/cjs/loader:667:38
      3    0.0%    0.1%  LazyCompile: *Module._compile node:internal/modules/cjs/loader:1057:37
      3    0.0%    0.1%  Function: ^stringToFlags node:internal/fs/utils:555:23
      3    0.0%    0.1%  Function: ^removeListener node:events:693:28
      3    0.0%    0.1%  Function: ^readFileAfterClose node:internal/fs/read_file_context:46:28
      3    0.0%    0.1%  Function: ^insertSort /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/safe-stable-stringify/index.js:86:21
      3    0.0%    0.1%  Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      3    0.0%    0.1%  Function: ^<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:181:44
      2    0.0%    0.1%  RegExp: ^(?:undefined(?=([~}\s)])))
      2    0.0%    0.1%  RegExp: ^(?:\|)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\s*else\s*(~)?\}\})
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\*?)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?>)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?#\*?)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?#>)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?![\s\S]*?\}\})
      2    0.0%    0.1%  RegExp: ^(?:\.(?=([=~}\s\/.)|])))
      2    0.0%    0.1%  RegExp: ^(?:[^\x00]+)
      2    0.0%    0.1%  RegExp: ^(?:(~)?\}\})
      2    0.0%    0.1%  RegExp: ^(?!\.)(?=.)[^/]*?\.hbs$
      2    0.0%    0.1%  RegExp: [\x00-\x1f\x27\x5c\x7f-\x9f]|[\ud800-\udbff](?![\udc00-\udfff])|(?<![\ud800-\udbff])[\udc00-\udfff]
      2    0.0%    0.1%  LazyCompile: *wrapper /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/wrappy/wrappy.js:19:19
      2    0.0%    0.1%  LazyCompile: *toString node:buffer:783:46
      2    0.0%    0.1%  LazyCompile: *strEscape node:internal/util/inspect:475:19
      2    0.0%    0.1%  LazyCompile: *splitRoot node:fs:2366:33
      2    0.0%    0.1%  LazyCompile: *readPackageScope node:internal/modules/cjs/loader:321:26
      2    0.0%    0.1%  LazyCompile: *readFileAfterClose node:internal/fs/read_file_context:46:28
      2    0.0%    0.1%  LazyCompile: *preparePath /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:63:21
      2    0.0%    0.1%  LazyCompile: *popStack /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:960:30
      2    0.0%    0.1%  LazyCompile: *normalize node:path:1127:12
      2    0.0%    0.1%  LazyCompile: *groupArrayElements node:internal/util/inspect:1338:28
      2    0.0%    0.1%  LazyCompile: *emit node:events:474:44
      2    0.0%    0.1%  LazyCompile: *cpus node:os:133:14
      2    0.0%    0.1%  LazyCompile: *anonymous /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:549:49
      2    0.0%    0.1%  LazyCompile: *SendStream /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/send/index.js:96:21
      2    0.0%    0.1%  LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      2    0.0%    0.1%  LazyCompile: *Glob._processReaddir2 /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/glob.js:372:44
      2    0.0%    0.1%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:208:81
      2    0.0%    0.1%  Function: ^writevGeneric node:internal/stream_base_commons:122:23
      2    0.0%    0.1%  Function: ^template /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/runtime.js:52:18
      2    0.0%    0.1%  Function: ^stringify /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/safe-stable-stringify/index.js:594:22
      2    0.0%    0.1%  Function: ^resolve node:path:1091:10
      2    0.0%    0.1%  Function: ^readFile node:fs:373:18
      2    0.0%    0.1%  Function: ^popState /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:536:40
      2    0.0%    0.1%  Function: ^pipe /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/send/index.js:510:43
      2    0.0%    0.1%  Function: ^parseQueryStringKeys /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/qs/lib/parse.js:149:46
      2    0.0%    0.1%  Function: ^parse /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/content-type/index.js:106:16
      2    0.0%    0.1%  Function: ^nextTick node:internal/process/task_queues:104:18
      2    0.0%    0.1%  Function: ^next /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
      2    0.0%    0.1%  Function: ^logger node:internal/util/debuglog:95:18
      2    0.0%    0.1%  Function: ^isEncoding node:buffer:530:40
      2    0.0%    0.1%  Function: ^invokeAmbiguous /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:699:44
      2    0.0%    0.1%  Function: ^hb.compile /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars.js:38:25
      2    0.0%    0.1%  Function: ^groupArrayElements node:internal/util/inspect:1338:28
      2    0.0%    0.1%  Function: ^getStatsFromBinding node:internal/fs/utils:530:29
      2    0.0%    0.1%  Function: ^getInfoWithLog file:///home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/components/info/services/infoService.js:18:25
      2    0.0%    0.1%  Function: ^getInfo file:///home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/utils/js/getInfo.js:4:17
      2    0.0%    0.1%  Function: ^getColorDepth node:internal/tty:106:23
