Statistical profiling result from isolate-debug-v8.log, (18918 ticks, 33 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\/)
      4    0.0%    0.1%  RegExp: ^(?:([^\s!"#%-,\.\/;->@\[-\^`\{-~]+(?=([=~}\s\/.)|]))))
      4    0.0%    0.1%  LazyCompile: *wrapper /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/wrappy/wrappy.js:19:19
      4    0.0%    0.1%  LazyCompile: *toString node:buffer:783:46
      4    0.0%    0.1%  LazyCompile: *replaceStack /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:892:38
      4    0.0%    0.1%  LazyCompile: *opcode /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:347:26
      4    0.0%    0.1%  LazyCompile: *groupArrayElements node:internal/util/inspect:1338:28
      4    0.0%    0.1%  LazyCompile: *getPathFromURLPosix node:internal/url:1395:29
      4    0.0%    0.1%  LazyCompile: *getEncodingOps node:buffer:679:24
      4    0.0%    0.1%  LazyCompile: *fastparse /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/parseurl/index.js:95:20
      4    0.0%    0.1%  LazyCompile: *basename node:path:1306:11
      4    0.0%    0.1%  LazyCompile: *Module._resolveLookupPaths node:internal/modules/cjs/loader:667:38
      4    0.0%    0.1%  LazyCompile: *Glob._readdir /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/glob.js:522:36
      4    0.0%    0.1%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:227:47
      4    0.0%    0.1%  Function: ^toString node:buffer:783:46
      4    0.0%    0.1%  Function: ^processPromiseRejections node:internal/process/promises:211:34
      4    0.0%    0.1%  Function: ^handle /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express/lib/router/index.js:136:31
      4    0.0%    0.1%  Function: ^deserializeObject /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/bson/lib/parser/deserializer.js:65:27
      3    0.0%    0.1%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\s*else\b)
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\^)
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?#\*?)
      3    0.0%    0.1%  RegExp: ^(?:\.\.)
      3    0.0%    0.1%  LazyCompile: *validateString node:internal/validators:118:24
      3    0.0%    0.1%  LazyCompile: *relative node:path:1190:11
      3    0.0%    0.1%  LazyCompile: *readPackageScope node:internal/modules/cjs/loader:321:26
      3    0.0%    0.1%  LazyCompile: *readFileAfterStat node:fs:326:27
      3    0.0%    0.1%  LazyCompile: *readFile node:fs:373:18
      3    0.0%    0.1%  LazyCompile: *getValidatedString /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/bson/lib/parser/deserializer.js:641:28
      3    0.0%    0.1%  LazyCompile: *generateList /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:143:38
      3    0.0%    0.1%  LazyCompile: *fulfilled /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:21:27
      3    0.0%    0.1%  LazyCompile: *execIteration /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/helpers/each.js:39:27
      3    0.0%    0.1%  LazyCompile: *createError /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/http-errors/index.js:49:22
      3    0.0%    0.1%  LazyCompile: *accept /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:101:26
      3    0.0%    0.1%  LazyCompile: *_addListener node:events:554:22
      3    0.0%    0.1%  LazyCompile: *Program /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:113:28
      3    0.0%    0.1%  Function: ^step /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:31:18
      3    0.0%    0.1%  Function: ^resolve node:path:1091:10
      3    0.0%    0.1%  Function: ^parserOnHeadersComplete node:_http_common:77:33
      3    0.0%    0.1%  Function: ^getEncodingOps node:buffer:679:24
      3    0.0%    0.1%  Function: ^compile /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      3    0.0%    0.1%  Function: ^<anonymous> node:internal/validators:84:3
      3    0.0%    0.1%  Function: ^<anonymous> node:internal/url:682:12
      2    0.0%    0.0%  RegExp: ^\s*?\r?\n
      2    0.0%    0.0%  RegExp: ^\.|this\b
      2    0.0%    0.0%  RegExp: ^[!#$%&'*+\-.^_`|~0-9A-Za-z]+$
      2    0.0%    0.0%  RegExp: ^(?:true(?=([~}\s)])))
      2    0.0%    0.0%  RegExp: ^(?:false(?=([~}\s)])))
      2    0.0%    0.0%  RegExp: ^(?:\{\{\{\{)
      2    0.0%    0.0%  RegExp: ^(?:\{\{(~)?\*?)
      2    0.0%    0.0%  RegExp: ^(?:\{\{(~)?!--)
      2    0.0%    0.0%  RegExp: ^(?:=)
      2    0.0%    0.0%  RegExp: [&<>"'`=]
      2    0.0%    0.0%  RegExp: ;\s*charset\s*=
      2    0.0%    0.0%  RegExp: -?-?~?\}\}$
      2    0.0%    0.0%  LazyCompile: *trim_prefix /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express/lib/router/index.js:288:23
      2    0.0%    0.0%  LazyCompile: *readFileSync node:fs:450:22
      2    0.0%    0.0%  LazyCompile: *hb.compile /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars.js:38:25
      2    0.0%    0.0%  LazyCompile: *getStringWidth node:internal/util/inspect:2181:43
      2    0.0%    0.0%  LazyCompile: *formatProperty node:internal/util/inspect:1810:24
      2    0.0%    0.0%  LazyCompile: *anonymous /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:549:49
      2    0.0%    0.0%  LazyCompile: *_write node:internal/streams/writable:283:16
      2    0.0%    0.0%  LazyCompile: *_storeHeader node:_http_outgoing:374:22
      2    0.0%    0.0%  LazyCompile: *SendStream /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/send/index.js:96:21
      2    0.0%    0.0%  LazyCompile: *Module.load node:internal/modules/cjs/loader:969:33
      2    0.0%    0.0%  LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      2    0.0%    0.0%  LazyCompile: *Module._compile node:internal/modules/cjs/loader:1057:37
      2    0.0%    0.0%  LazyCompile: *C node:internal/deps/cjs-module-lexer/dist/lexer:1:1152
      2    0.0%    0.0%  LazyCompile: *<anonymous> node:vm:313:27
      2    0.0%    0.0%  LazyCompile: *<anonymous> node:internal/fs/utils:357:35
      2    0.0%    0.0%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/helpers/each.js:15:44
      2    0.0%    0.0%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:130:39
      2    0.0%    0.0%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:20:46
      2    0.0%    0.0%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:201:47
      2    0.0%    0.0%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:164:57
      2    0.0%    0.0%  Function: ^writeHead node:_http_server:269:19
      2    0.0%    0.0%  Function: ^writeHead /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/on-headers/index.js:28:29
      2    0.0%    0.0%  Function: ^wrapper /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/internal/wrapHelper.js:12:33
      2    0.0%    0.0%  Function: ^wrapSafe node:internal/modules/cjs/loader:1017:18
      2    0.0%    0.0%  Function: ^unenroll node:timers:78:18
      2    0.0%    0.0%  Function: ^tryExtensions node:internal/modules/cjs/loader:400:23
      2    0.0%    0.0%  Function: ^trim_prefix /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express/lib/router/index.js:288:23
      2    0.0%    0.0%  Function: ^toString /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/uid-safe/index.js:102:19
      2    0.0%    0.0%  Function: ^setupParams /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1034:36
      2    0.0%    0.0%  Function: ^setWriteHeadHeaders /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/on-headers/index.js:105:30
      2    0.0%    0.0%  Function: ^setStreamTimeout node:internal/stream_base_commons:237:26
      2    0.0%    0.0%  Function: ^session /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-session/index.js:179:26
      2    0.0%    0.0%  Function: ^ret._setup /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/runtime.js:217:25
      2    0.0%    0.0%  Function: ^resolvePath /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:492:36
      2    0.0%    0.0%  Function: ^readableAddChunk node:internal/streams/readable:236:26
      2    0.0%    0.0%  Function: ^onwrite node:internal/streams/writable:425:17
      2    0.0%    0.0%  Function: ^lookupProperty /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/runtime.js:118:44
      2    0.0%    0.0%  Function: ^handle /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express/lib/router/layer.js:86:49
      2    0.0%    0.0%  Function: ^go$readFile /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/graceful-fs/graceful-fs.js:117:26
      2    0.0%    0.0%  Function: ^getOptions node:internal/fs/utils:314:20
      2    0.0%    0.0%  Function: ^getHeader node:_http_outgoing:590:57
      2    0.0%    0.0%  Function: ^getEncodingPriority /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/negotiator/lib/encoding.js:98:29
      2    0.0%    0.0%  Function: ^fulfilled /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:21:27
      2    0.0%    0.0%  Function: ^fileURLToPath node:internal/url:1413:23
      2    0.0%    0.0%  Function: ^error /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/send/index.js:267:45
      2    0.0%    0.0%  Function: ^createProtoAccessControl /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/internal/proto-access.js:19:34
      2    0.0%    0.0%  Function: ^contentType /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express/lib/response.js:599:32
      2    0.0%    0.0%  Function: ^clearTimeout node:timers:184:22
      2    0.0%    0.0%  Function: ^clearBuffer node:internal/streams/writable:529:21
      2    0.0%    0.0%  Function: ^checkInvalidHeaderChar node:_http_common:232:32
      2    0.0%    0.0%  Function: ^appendToBuffer /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:42:42
      2    0.0%    0.0%  Function: ^_write node:internal/streams/writable:283:16
      2    0.0%    0.0%  Function: ^_copyActual node:buffer:243:21
      2    0.0%    0.0%  Function: ^__awaiter /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:18:54
      2    0.0%    0.0%  Function: ^ReadableState node:internal/streams/readable:78:23
      2    0.0%    0.0%  Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      2    0.0%    0.0%  Function: ^Module._compile node:internal/modules/cjs/loader:1057:37
      2    0.0%    0.0%  Function: ^Hash node:internal/crypto/hash:58:14
      2    0.0%    0.0%  Function: ^Glob._readdirError /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/glob.js:578:41
      2    0.0%    0.0%  Function: ^ExpressHandlebars._compileTemplate /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:313:61
      2    0.0%    0.0%  Function: ^<anonymous> node:internal/validators:73:3
      2    0.0%    0.0%  Function: ^<anonymous> node:internal/util:347:32
      2    0.0%    0.0%  Function: ^<anonymous> node:internal/fs/utils:668:38
      2    0.0%    0.0%  Function: ^<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:85:24
      2    0.0%    0.0%  Function: ^<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:251:47
      2    0.0%    0.0%  Function: ^<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:227:47
      2    0.0%    0.0%  Function: *wasm-function[15]
      1    0.0%    0.0%  RegExp: ^\s*?(\r?\n|$)
      1    0.0%    0.0%  RegExp: ^\s*([^\s;]+)\s*(?:;(.*))?$
      1    0.0%    0.0%  RegExp: ^\[.*\]$
      1    0.0%    0.0%  RegExp: ^.*[\.\/\\]
      1    0.0%    0.0%  RegExp: ^(?:null(?=([~}\s)])))
      1    0.0%    0.0%  RegExp: ^(?:as\s+\|)
      1    0.0%    0.0%  RegExp: ^(?:\}\}\}\})
      1    0.0%    0.0%  RegExp: ^(?:\}(~)?\}\})
      1    0.0%    0.0%  RegExp: ^(?:\|)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?\{)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?>)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?&)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?#>)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?![\s\S]*?\}\})
      1    0.0%    0.0%  RegExp: ^(?:\s+)
      1    0.0%    0.0%  RegExp: ^(?:\.(?=([=~}\s\/.)|])))
      1    0.0%    0.0%  RegExp: ^(?:\))
      1    0.0%    0.0%  RegExp: ^(?:[\s\S]*?--(~)?\}\})
      1    0.0%    0.0%  RegExp: ^(?:@)
      1    0.0%    0.0%  RegExp: ^(?:(~)?\}\})
      1    0.0%    0.0%  RegExp: ^(?:'(\\[']|[^'])*')
      1    0.0%    0.0%  RegExp: \r?\n?
      1    0.0%    0.0%  RegExp: \/+
      1    0.0%    0.0%  RegExp: [^\t\x20-\x7e\x80-\xff]
      1    0.0%    0.0%  RegExp: [\u0000-\u001f\u0022\u005c\ud800-\udfff]|[\ud800-\udbff](?![\udc00-\udfff])|(?:[^\ud800-\udbff]|^)[\udc00-\udfff]
      1    0.0%    0.0%  RegExp: ; *([!#$%&'*+.^_`|~0-9A-Za-z-]+) *= *("(?:[\u000b\u0020\u0021\u0023-\u005b\u005d-\u007e\u0080-\u00ff]|\\[\u000b\u0020-\u00ff])*"|[!#$%&'*+.^_`|~0-9A-Za-z-]+) *
      1    0.0%    0.0%  RegExp: (\[[^[\]]*])
      1    0.0%    0.0%  RegExp: (?:^|\/)\.?\.$
      1    0.0%    0.0%  RegExp: (?:\r\n?|\n)
      1    0.0%    0.0%  LazyCompile: *unput /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:429:34
      1    0.0%    0.0%  LazyCompile: *stylizeWithColor node:internal/util/inspect:540:26
