Statistical profiling result from isolate-nodebug-v8.log, (17642 ticks, 30 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    0.0%    0.1%  LazyCompile: *dirname node:path:1275:10
      4    0.0%    0.1%  LazyCompile: *basename node:path:1306:11
      4    0.0%    0.1%  LazyCompile: *anonymous /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:549:49
      4    0.0%    0.1%  LazyCompile: *Glob._processReaddir2 /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/glob.js:372:44
      4    0.0%    0.1%  Function: ^processPromiseRejections node:internal/process/promises:211:34
      4    0.0%    0.1%  Function: ^deserializeObject /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/bson/lib/parser/deserializer.js:65:27
      4    0.0%    0.1%  Function: ^<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/cors/lib/index.js:204:37
      3    0.0%    0.1%  RegExp: ^(?:\{\{\{\{)
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?&)
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?!--)
      3    0.0%    0.1%  RegExp: ^(?:=)
      3    0.0%    0.1%  RegExp: [^\t\x20-\x7e\x80-\xff]
      3    0.0%    0.1%  RegExp: [&<>"'`=]
      3    0.0%    0.1%  LazyCompile: *validateString node:internal/validators:118:24
      3    0.0%    0.1%  LazyCompile: *readFileAfterClose node:internal/fs/read_file_context:46:28
      3    0.0%    0.1%  LazyCompile: *readFile node:fs:373:18
      3    0.0%    0.1%  LazyCompile: *parse /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/minimatch/minimatch.js:296:16
      3    0.0%    0.1%  LazyCompile: *normalize node:path:1127:12
      3    0.0%    0.1%  LazyCompile: *getEncodingOps node:buffer:679:24
      3    0.0%    0.1%  LazyCompile: *emit node:events:474:44
      3    0.0%    0.1%  LazyCompile: *close node:internal/fs/read_file_context:111:8
      3    0.0%    0.1%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:98:47
      3    0.0%    0.1%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:20:46
      3    0.0%    0.1%  Function: ^writeOrBuffer node:internal/streams/writable:365:23
      3    0.0%    0.1%  Function: ^slice node:buffer:594:12
      3    0.0%    0.1%  Function: ^resolve node:path:1091:10
      3    0.0%    0.1%  Function: ^replaceStack /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:892:38
      3    0.0%    0.1%  Function: ^readSync node:fs:684:18
      3    0.0%    0.1%  Function: ^mergeSource /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:267:36
      3    0.0%    0.1%  Function: ^generateList /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:143:38
      3    0.0%    0.1%  Function: ^debug /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express/node_modules/debug/src/debug.js:65:17
      3    0.0%    0.1%  Function: ^_destroy node:internal/streams/destroy:70:18
      3    0.0%    0.1%  Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      3    0.0%    0.1%  Function: ^Glob._process /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/glob.js:295:36
      3    0.0%    0.1%  Function: ^Glob._emitMatch /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/glob.js:451:38
      3    0.0%    0.1%  Function: ^<anonymous> node:internal/util:347:32
      3    0.0%    0.1%  Function: ^<anonymous> node:internal/fs/utils:668:38
      2    0.0%    0.0%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      2    0.0%    0.0%  RegExp: ^.*[\.\/\\]
      2    0.0%    0.0%  RegExp: ^(?:true(?=([~}\s)])))
      2    0.0%    0.0%  RegExp: ^(?:\{\{(~)?\s*else\b)
      2    0.0%    0.0%  RegExp: ^(?:\{\{(~)?\^)
      2    0.0%    0.0%  RegExp: ^(?:\{\{(~)?\/)
      2    0.0%    0.0%  RegExp: ^(?:\s+)
      2    0.0%    0.0%  RegExp: ^(?:'(\\[']|[^'])*')
      2    0.0%    0.0%  RegExp: ^(?!\.)(?=.)[^/]*?\.hbs$
      2    0.0%    0.0%  RegExp: ; *([!#$%&'*+.^_`|~0-9A-Za-z-]+) *= *("(?:[\u000b\u0020\u0021\u0023-\u005b\u005d-\u007e\u0080-\u00ff]|\\[\u000b\u0020-\u00ff])*"|[!#$%&'*+.^_`|~0-9A-Za-z-]+) *
      2    0.0%    0.0%  LazyCompile: *wrapper /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/wrappy/wrappy.js:19:19
      2    0.0%    0.0%  LazyCompile: *unput /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:429:34
      2    0.0%    0.0%  LazyCompile: *splitRoot node:fs:2366:33
      2    0.0%    0.0%  LazyCompile: *readFileAfterStat node:fs:326:27
