Statistical profiling result from fork-v8.log, (29721 ticks, 7 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ^resume_ node:internal/streams/readable:984:17
      1    0.0%    0.0%  Function: ^resolve node:path:1091:10
      1    0.0%    0.0%  Function: ^resOnFinish node:_http_server:788:21
      1    0.0%    0.0%  Function: ^removeListener node:events:693:28
      1    0.0%    0.0%  Function: ^preferredEncodings /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/negotiator/lib/encoding.js:138:28
      1    0.0%    0.0%  Function: ^parseQueryStringValues /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/qs/lib/parse.js:50:50
      1    0.0%    0.0%  Function: ^parseQueryStringKeys /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/qs/lib/parse.js:149:46
      1    0.0%    0.0%  Function: ^parseObject /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/qs/lib/parse.js:114:28
      1    0.0%    0.0%  Function: ^parse /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/content-type/index.js:106:16
      1    0.0%    0.0%  Function: ^originalurl /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/parseurl/index.js:65:22
      1    0.0%    0.0%  Function: ^onStatError /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/send/index.js:416:57
      1    0.0%    0.0%  Function: ^onResponseHeaders /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/compression/index.js:140:47
      1    0.0%    0.0%  Function: ^onDestroy node:internal/streams/destroy:73:21
      1    0.0%    0.0%  Function: ^normalizeEncoding node:internal/util:160:27
      1    0.0%    0.0%  Function: ^noop node:internal/util/debuglog:47:14
      1    0.0%    0.0%  Function: ^next /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/send/index.js:761:17
      1    0.0%    0.0%  Function: ^next /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/route.js:114:16
      1    0.0%    0.0%  Function: ^json /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/response.js:239:25
      1    0.0%    0.0%  Function: ^isFileType node:fs:205:20
      1    0.0%    0.0%  Function: ^howMuchToRead node:internal/streams/readable:377:23
      1    0.0%    0.0%  Function: ^getOwn node:internal/bootstrap/loaders:180:16
      1    0.0%    0.0%  Function: ^getObserverType node:internal/perf/observe:117:25
      1    0.0%    0.0%  Function: ^getDefaultTriggerAsyncId node:internal/async_hooks:433:34
      1    0.0%    0.0%  Function: ^get pathname node:internal/url:875:15
      1    0.0%    0.0%  Function: ^get node:internal/streams/readable:1270:8
      1    0.0%    0.0%  Function: ^get node:internal/streams/duplex:94:8
      1    0.0%    0.0%  Function: ^fromString node:buffer:432:20
      1    0.0%    0.0%  Function: ^format /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/content-type/index.js:65:17
      1    0.0%    0.0%  Function: ^end node:_http_outgoing:833:45
      1    0.0%    0.0%  Function: ^encodings /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/negotiator/index.js:52:52
      1    0.0%    0.0%  Function: ^emitCloseNT node:internal/streams/destroy:126:21
      1    0.0%    0.0%  Function: ^dispatch /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/route.js:98:45
      1    0.0%    0.0%  Function: ^destroy node:internal/streams/destroy:32:17
      1    0.0%    0.0%  Function: ^decode node:internal/encoding:408:11
      1    0.0%    0.0%  Function: ^corsMiddleware /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/cors/lib/index.js:203:35
      1    0.0%    0.0%  Function: ^construct node:internal/streams/destroy:225:19
      1    0.0%    0.0%  Function: ^clearTimeout node:timers:184:22
      1    0.0%    0.0%  Function: ^checkInvalidHeaderChar node:_http_common:232:32
      1    0.0%    0.0%  Function: ^callback node:internal/streams/writable:550:44
      1    0.0%    0.0%  Function: ^applyHeaders /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/cors/lib/index.js:144:24
      1    0.0%    0.0%  Function: ^append /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/vary/index.js:38:17
      1    0.0%    0.0%  Function: ^app.<computed> /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/application.js:473:25
      1    0.0%    0.0%  Function: ^afterWriteDispatched node:internal/stream_base_commons:155:30
      1    0.0%    0.0%  Function: ^afterWrite node:internal/streams/writable:487:20
      1    0.0%    0.0%  Function: ^_storeHeader node:_http_outgoing:374:22
      1    0.0%    0.0%  Function: ^_flushOutput node:_http_outgoing:951:63
      1    0.0%    0.0%  Function: ^_addListener node:events:554:22
      1    0.0%    0.0%  Function: ^ServerResponse node:_http_server:178:24
      1    0.0%    0.0%  Function: ^IncomingMessage node:_http_incoming:51:25
      1    0.0%    0.0%  Function: ^<anonymous> node:internal/validators:154:3
      1    0.0%    0.0%  Function: ^<anonymous> node:internal/fs/utils:668:38

 [C++]:
   ticks  total  nonlib   name
    150    0.5%    0.7%  __write@@GLIBC_2.2.5
     70    0.2%    0.3%  fwrite@@GLIBC_2.2.5
     26    0.1%    0.1%  pthread_cond_signal@@GLIBC_2.3.2
     17    0.1%    0.1%  epoll_pwait@@GLIBC_2.6
     14    0.0%    0.1%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
     14    0.0%    0.1%  __libc_malloc@@GLIBC_2.2.5
     11    0.0%    0.1%  _IO_file_xsputn@@GLIBC_2.2.5
      9    0.0%    0.0%  __read@@GLIBC_2.2.5
      8    0.0%    0.0%  __mprotect@@GLIBC_PRIVATE
      7    0.0%    0.0%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
      4    0.0%    0.0%  std::ostream& std::ostream::_M_insert<long>(long)@@GLIBCXX_3.4.9
      4    0.0%    0.0%  __pthread_mutex_unlock@GLIBC_2.2.5
      4    0.0%    0.0%  __pthread_mutex_lock@GLIBC_2.2.5
      3    0.0%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      3    0.0%    0.0%  cfree@GLIBC_2.2.5
      3    0.0%    0.0%  __pthread_getspecific@GLIBC_2.2.5
      3    0.0%    0.0%  __mmap@@GLIBC_PRIVATE
      2    0.0%    0.0%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const@@GLIBCXX_3.4.18
      2    0.0%    0.0%  shutdown@@GLIBC_2.2.5
      2    0.0%    0.0%  operator delete[](void*)@@GLIBCXX_3.4
      2    0.0%    0.0%  getrusage@@GLIBC_2.2.5
      2    0.0%    0.0%  fputc@@GLIBC_2.2.5
      2    0.0%    0.0%  __pthread_rwlock_wrlock@GLIBC_2.2.5
      2    0.0%    0.0%  __lll_lock_wait_private@@GLIBC_PRIVATE
      1    0.0%    0.0%  syscall@@GLIBC_2.2.5
      1    0.0%    0.0%  std::ostream::operator<<(int)@@GLIBCXX_3.4
      1    0.0%    0.0%  std::ostream::flush()@@GLIBCXX_3.4
      1    0.0%    0.0%  std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      1    0.0%    0.0%  std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const@@GLIBCXX_3.4.18
      1    0.0%    0.0%  std::_Rb_tree_rebalance_for_erase(std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      1    0.0%    0.0%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      1    0.0%    0.0%  std::_Rb_tree_increment(std::_Rb_tree_node_base*)@@GLIBCXX_3.4
      1    0.0%    0.0%  sigemptyset@@GLIBC_2.2.5
      1    0.0%    0.0%  readlink@@GLIBC_2.2.5
      1    0.0%    0.0%  operator new(unsigned long)@@GLIBCXX_3.4
      1    0.0%    0.0%  fflush@@GLIBC_2.2.5
      1    0.0%    0.0%  epoll_ctl@@GLIBC_2.3.2
      1    0.0%    0.0%  __pthread_rwlock_unlock@GLIBC_2.2.5
      1    0.0%    0.0%  __pthread_rwlock_tryrdlock@GLIBC_2.2.5

 [Summary]:
   ticks  total  nonlib   name
  19844   66.8%   98.1%  JavaScript
    379    1.3%    1.9%  C++
    347    1.2%    1.7%  GC
   9491   31.9%          Shared libraries
      7    0.0%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
     96   40.0%    0.3%  __write@@GLIBC_2.2.5
     64   26.7%    0.2%  fwrite@@GLIBC_2.2.5
     13    5.4%    0.0%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
     11    4.6%    0.0%  __libc_malloc@@GLIBC_2.2.5
     10    4.2%    0.0%  _IO_file_xsputn@@GLIBC_2.2.5
      7    2.9%    0.0%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
      4    1.7%    0.0%  __pthread_mutex_lock@GLIBC_2.2.5
      4    1.7%    0.0%  __mprotect@@GLIBC_PRIVATE
      3    1.3%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      3    1.3%    0.0%  std::ostream& std::ostream::_M_insert<long>(long)@@GLIBCXX_3.4.9
      3    1.3%    0.0%  __pthread_mutex_unlock@GLIBC_2.2.5
      2    0.8%    0.0%  operator delete[](void*)@@GLIBCXX_3.4
      2    0.8%    0.0%  fputc@@GLIBC_2.2.5
      2    0.8%    0.0%  cfree@GLIBC_2.2.5
